,SourceID,RA,Dec,file_loc
153,4000712860863,11.447907199999998,41.9845515,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712860863.jpeg
154,AHZ2001gd8,150.074661,2.7899596,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001gd8_300_300_3.jpeg
155,AHZ2000ty9,149.5870889,2.2304404,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000ty9_300_300_3.jpeg
156,AHZ2000aq0,150.2590178,1.8913499,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000aq0.jpeg
157,AHZ2000hmu,150.4721208,1.9738257,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000hmu_300_300_3.jpeg
158,4000712889217,11.4532135,41.996179,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712889217.jpeg
159,4000712977990,11.4497078,42.026014700000005,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712977990.jpeg
160,AHZ2000ays,150.3899342,1.8094842,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000ays_300_300_3.jpeg
161,4000712883435,11.4832075,41.9942274,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712883435.jpeg
162,AHZ2001pwr,150.2777726,2.0007558999999997,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001pwr.jpeg
163,4504617970,263.6223812,-39.0451236,/media/team_workspaces/astronomaly-project/images/18k-sample/4504617970.jpeg
164,4000710649213,11.4898459,42.14674829999999,/media/team_workspaces/astronomaly-project/images/18k-sample/4000710649213.jpeg
165,4000707178859,11.5335128,42.127734,/media/team_workspaces/astronomaly-project/images/18k-sample/4000707178859.jpeg
166,16607341,,,/media/team_workspaces/astronomaly-project/images/18k-sample/16607341.jpeg
167,AHZ40003so,53.2650324,-27.7947726,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ40003so_300_300_3.jpeg
168,AHZ2000w29,150.7005125,2.3127414,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000w29.jpeg
169,13846920,,,/media/team_workspaces/astronomaly-project/images/18k-sample/13846920.jpeg
170,AHZ2000szf,149.7322647,2.2820612,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000szf_300_300_3.jpeg
171,4000710646309,11.4396725,42.1450105,/media/team_workspaces/astronomaly-project/images/18k-sample/4000710646309.jpeg
172,AHZ2001bjs,149.7093709,2.5257652,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001bjs_300_300_3.jpeg
173,4606967776,201.36338730000003,-47.5928571,/media/team_workspaces/astronomaly-project/images/18k-sample/4606967776.jpeg
174,4177570180,279.12237589999995,-23.9170583,/media/team_workspaces/astronomaly-project/images/18k-sample/4177570180.jpeg
175,41304420,,,/media/team_workspaces/astronomaly-project/images/18k-sample/41304420.jpeg
