,SourceID,reps_x,reps_y,file_loc
97,AHZ40002mk,-0.645843,4.7223477,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ40002mk_300_300_3.jpeg
98,AHZ20014ow,-2.3735173,6.7119193,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ20014ow.jpeg
99,AHZ2000fh9,-0.50022304,6.2759285,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000fh9_300_300_3.jpeg
100,97120447,0.5085607,11.739794,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/97120447.jpeg
101,AHZ200176d,-0.45464712,11.009396,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ200176d_300_300_3.jpeg
102,4110453613,7.300561,11.950029,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4110453613.jpeg
103,AHZ2000b3t,-2.4856224,13.612367,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000b3t_300_300_3.jpeg
104,4608706331,4.8088717,11.433039,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4608706331.jpeg
105,AHZ2000epo,-4.234359,8.839472,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000epo_300_300_3.jpeg
106,AHZ2000sc7,-3.6522741,11.570608,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000sc7_300_300_3.jpeg
107,4000708700566,1.0849029,10.410111,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000708700566.jpeg
108,97206948,0.7536668,13.048874,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/97206948.jpeg
109,AHZ2001h14,-1.1403453,12.360451,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001h14_300_300_3.jpeg
110,4000708970553,-0.0226034,11.86336,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000708970553.jpeg
111,AHZ200163f,1.8953567,6.4275784,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ200163f.jpeg
112,4000712897728,11.386036,10.368642,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000712897728.jpeg
113,AHZ2001pyh,1.1664602,10.015836,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001pyh_300_300_3.jpeg
114,4175034195,-1.3487127,11.4897175,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4175034195.jpeg
115,34904190,2.887563,11.72733,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/34904190.jpeg
116,100086435,-3.3307126,8.816354,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/100086435.jpeg
117,AHZ20015at,-2.893532,12.664548,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ20015at_300_300_3.jpeg
118,AHZ2001sty,-0.517106,12.525582,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001sty_300_300_3.jpeg
119,AHZ2000xx9,0.7137216,9.416543,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000xx9_300_300_3.jpeg
120,UDS_10118,-0.5378655,5.088395,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/UDS_10118.jpeg
121,4000708692191,6.4157825,11.695536,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000708692191.jpeg
122,AHZ20010na,-2.0198784,8.809688,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ20010na_300_300_3.jpeg
123,76605936,1.855336,7.5516663,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/76605936.jpeg
124,AHZ2000h1d,-0.421303,10.734541,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000h1d_300_300_3.jpeg
125,4556772567,5.4948015,12.158784,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4556772567.jpeg
126,4178460094,5.269665,12.347309,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4178460094.jpeg
127,AHZ20015le,0.46493733,11.393262,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ20015le_300_300_3.jpeg
128,29575975,6.062038,8.12397,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/29575975.jpeg
129,AHZ200062t,-1.1418214,12.033645,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ200062t_300_300_3.jpeg
130,AHZ100049j,1.0334481,10.438129,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ100049j_300_300_3.jpeg
131,AHZ2001pvl,-0.3405181,11.749424,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001pvl_300_300_3.jpeg
132,AHZ2001b0v,1.1095971,5.9217544,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001b0v_300_300_3.jpeg
133,AHZ2001n7o,-1.7216028,9.930718,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001n7o.jpeg
134,4233355484,-0.09470495,7.2860546,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4233355484.jpeg
135,4233437807,6.168028,12.01672,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4233437807.jpeg
136,AHZ2001i7e,-3.0346625,6.015754,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001i7e_300_300_3.jpeg
137,4000712859304,10.135576,10.842073,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000712859304.jpeg
138,AHZ100012n,-0.07384311,12.375815,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ100012n_300_300_3.jpeg
139,COS_17178,-0.34945363,5.7945127,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/COS_17178.jpeg
140,4552378069,0.44165727,13.6219425,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4552378069.jpeg
141,AHZ2000ror,0.4674431,11.173012,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000ror_300_300_3.jpeg
142,AHZ2001ovf,1.0288012,13.08006,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001ovf_300_300_3.jpeg
